company,ticker,title,body,date,replies
Graham Holdings Company (The Washington Post Company),GHC,Purdue University Global asking for federal government lawsuit,"What's with PUG advertising Purdue University Global as ""world-class education""? Isn't this just asking for a huge federal investigation, like what DeVry faced?",2018-07-31,1
Graham Holdings Company (The Washington Post Company),GHC,Purdue Global Remains Subprime,"The subprime college crash continues for the seventh consecutive year with little attention from the government or media. Subprime is a more appropriate name than for-profit, because several non-profit schools offer limited value at a high price. Low...
read more",2018-07-25,0
Graham Holdings Company (The Washington Post Company),GHC,Seeking whistleblowers inside Washington Post,"Currently seeking insiders, former staff, associates, sources who can provide insight and/or testimony regarding unethical/ practices at the Washington Post. Respondents' identities will be protected at request. Please reply via 202.630.3092...
read more",2017-11-30,1
Graham Holdings Company (The Washington Post Company),GHC,Graham Layoffs 2018,How about layoffs in Washington.,2017-10-15,0
Graham Holdings Company (The Washington Post Company),GHC,Grumblings about the Kaplan-Purdue deal (NewU),"The U.S. Education Department wants Purdue University to absorb the debts and liabilities of Kaplan University as a condition for approving the state school’s controversial purchase of the for-profit college, a request that critics say could place...
read more",2017-10-07,2
Graham Holdings Company (The Washington Post Company),GHC,Looking for whistleblowers,I'm looking for whistleblowers who can tell us how veterans are treated at Kaplan.,2017-06-05,0
Graham Holdings Company (The Washington Post Company),GHC,Purdue purchase of Kaplan University is a win for GHC,"Purdue takes much of the risk while giving a steady stream of income to GHC. This is just the beginning of ""creative destruction"" in higher education. https://www.linkedin.com/pulse/creative-destruction-higher-ed-accelerate-under-trump-dahn-shaulis",2017-04-30,0
Graham Holdings Company (The Washington Post Company),GHC,Trump and GHC,How will the Trump administration affect Graham Holdings? https://www.linkedin.com/pulse/educational-corruption-devos-devolution-dahn-shaulis?published=u,2016-12-01,0
Graham Holdings Company (The Washington Post Company),GHC,Graham Layoffs 2017,Is it possible that we'll have job cuts in Washington.,2016-11-23,0
Graham Holdings Company (The Washington Post Company),GHC,Kaplan Higher Education revenue declines impact Graham Holdings Q2 earnings results,"Kaplan would be a zombie college without GHC. And with less money, cuts have to come from somewhere. http://www.talkingnewmedia.com/2016/08/03/kaplan-higher-education-revenue-declines-impact-graham-holdings-q2-earnings-results/#comment-3313",2016-08-04,0
Graham Holdings Company (The Washington Post Company),GHC,"LA Times, NY Post, NG, Philly.com all cut folks last week","Layoffs never stop, the whole sector is in turmoil",2015-11-09,0
Graham Holdings Company (The Washington Post Company),GHC,Any updates on potential layoffs?,"I see a lot of activity on the Appolo Group side, I would imagine that Kaplan is causing the same kind of problems as University of Phoenix does",2015-04-24,3
Grand Canyon Education Inc.,LOPE,Aggressive recruiting,"At some point, it'll catch up with GCU",2018-05-22,0
Grand Canyon Education Inc.,LOPE,No layoffs?,No layoffs at Grand Canyon? It looks like there will be increased competition for Christian minds and prosperity theology (e.g. Liberty University),2015-12-22,0
Grand Canyon Education Inc.,LOPE,No layoffs?,No layoffs at Grand Canyon. It looks like there will be increased competition for Christian minds and prosperity theology (e.g. Liberty University),2015-12-22,0
Grand Canyon Education Inc.,LOPE,No layoffs?,No layoffs at Grand Canyon? It looks like there will be increased competition for Christian minds and prosperity theology (e.g. Liberty University),2015-12-22,0
Grant Prideco Inc.,GRP,"Grant - speak up, what is your status?",no body text,2016-08-21,2
Grant Prideco Inc.,GRP,2015 Layoffs and No Information,Why are we silent here? I really want to see some people tell us truth about layoffs at Grant.,2015-03-19,2
Graphic Packaging Corp.,GPK,Graphic Packaging Holding Layoffs 2019,Share any updates you may have about Graphic Packaging Holding Layoffs in 2019 or beyond?,2018-10-30,0
Graphic Packaging Corp.,GPK,Graphic Packaging Holding Layoffs 2018,Do you think that our executives will make a decision to cut people in Atlanta.,2017-10-15,0
Graphic Packaging Corp.,GPK,Graphic Packaging Holding Layoffs 2017,It's hard to see things getting better or much better - are we going to have job reductions in corporate in Atlanta.,2016-11-23,0
Graphic Packaging Corp.,GPK,Graphic Packaging Holding Layoffs 2016,What is the likelihood of Graphic Packaging Holding layoffs in Atlanta in 2016? Please let me know if you have any information.,2015-11-05,0
Graphic Packaging Corp.,GPK,2014 Cuts at GP,Things are bad,2014-09-10,0
Graphic Packaging Corp.,GPK,Kansas City Layoffs,We were hit in 2012 big time. I hear that GP will have cuts in 2014 too? Anybody knows more?,2014-01-21,0
Great Atlantic & Pacific Tea Co.,GAP,I like your products,That's pretty much it - I hope you have a great 2014 and 2015 years,2014-07-22,0
Great Atlantic & Pacific Tea Co.,GAP,the great atlantic and pacific layoff 2013,things will be better than in 2013 and everyone is expecting an outstanding 2014,2014-01-07,0
Great Atlantic & Pacific Tea Co.,GAP,the stock is up? why? because the tengelmann group is coming..,"the stock is up? why? because the tengelmann group is coming... and why up? cause they are about to cut expenses... what\'s the biggest expense? employees? so, is it good for us that the stock is rising in value? hahahaha....",2009-11-04,0
Great Basin Scientific Inc.,GBSN,"Friday, February 10th 2017 Great Basin Scientific laid off half of its work force due to financial trouble.",no body text,2017-02-18,0
Great Plains Energy Inc.,GXP,150 folks will be let go,150 folks will be let go. almost all will be offered buy-out plans. layoffs will likely continue at GPE latter this year. http://www.istockanalyst.com/business/news/4962478/kcp-l-s-parent-plans-to-cut-jobs,2011-03-12,0
Greatbatch Inc.,GB,"Greatbatch, growth or not",Can someone post what they know about Greatbatch and plans for 2017,2016-11-08,0
Green Mountain Coffee Roasters Inc.,GMCR,2017 Layoff Updates,Why no posts here? People are afraid.,2017-05-11,0
Green Mountain Coffee Roasters Inc.,GMCR,Keurig Kold,"I know that Keurig Kold has been a huge failure and resulted in the JAB buy out. Keurig planned on selling 300 million kold pods in the first year this was revised down many times over the last 8 months and wound up at less than 5 million. So Keurig...
read more",2016-06-15,0
Green Mountain Coffee Roasters Inc.,GMCR,Here they go again.,"People leaving, layoffs looming. CPI has to be done right and losing great human resources means they are doing it wrong.",2015-07-30,1
Green Mountain Coffee Roasters Inc.,GMCR,GMCR downsizing in works,It's my understanding that we'll reorganize in Q2 and that some jobs will be eliminated. May be wrong though...,2014-02-24,3
Green Mountain Coffee Roasters Inc.,GMCR,"Castroville, CA; Knoxville, TN; Windsor, VA; Essex, Waterbury and Williston, VT; Sumner, WA; Montreal and Toronto",Cuts coming,2014-02-07,0
Green Mountain Coffee Roasters Inc.,GMCR,Continuous Process Improvement (CPI) - Layoffs,I heard we might be hitting CPI soon,2014-02-07,0
Green Mountain Coffee Roasters Inc.,GMCR,"Good times are over, downsizing to happen","We grew too much - GMCR is hurting right now and our sales will continue to go down. Once that happens, people panic and even more great talent leaves. you cannot beat that - that's what's going to happen, slowly but surely, resources will start a...
read more",2014-02-06,0
Green Mountain Coffee Roasters Inc.,GMCR,"I am curious to see why this board is so silent, we all know that positions are being eliminated on a daily basis, I know for sure some...","I am curious to see why this board is so silent, we all know that positions are being eliminated on a daily basis, I know for sure some purchasing folks have been affected... GMCR used to be a great place to work at, no so anymore.",2013-03-15,0
Green Mountain Coffee Roasters Inc.,GMCR,"the stock is up, i guess there will be no layoffs this time around","the stock is up, i guess there will be no layoffs this time around",2012-08-27,0
Green Plains Renewable Energy Inc.,GPRE,Green Plains is more or less in trouble - I'd go look for job somewhere else,Green Plains is more or less in trouble - I'd go look for job somewhere else,2013-01-21,0
Greene County Bancorp Inc.,GCBC,i was let go back in april,i was let go back in april. four more folks were laid off on the same day.,2009-08-06,0
Greenfield Online Inc.,SRVY,Online Data Collection,"I have experience with online data collection. Do you hire? Have you had any layoffs recently? How about 2014? How about layoff plans for 2015? My previous employer outsourced a ton of stuff, are you planning to outsource?",2014-07-24,0
Greif Inc.,GEF,Greif Layoffs 2019,This is a master thread about Greif Layoffs in 2019?,2018-10-30,0
Greif Inc.,GEF,Greif Layoffs 2018,Are you kidding me? Another round of job cuts in Delaware.,2017-10-15,0
Greif Inc.,GEF,Greif Layoffs 2017,Cannot believe it? Really? Layoffs again in Delaware.,2016-11-23,0
Greif Inc.,GEF,Greif Layoffs 2016,What is the likelihood of Greif layoffs in Delaware in 2016? Please let me know if you have any information.,2015-11-05,0
Griffin Land & Nurseries Inc.,GRIF,More locations to be added in 2017,Griffin is expanding by adding more locations. That's a fact. No layoffs. For now.,2017-06-21,0
Grifols S.A. ADS,GRFS,Grifols Layoffs 2019,Is there going to be any reorg or Grifols Layoffs in 2019?,2018-10-30,0
Grifols S.A. ADS,GRFS,Grifols Layoffs 2018,"Things can be better, especially because I hear that we might have job reductions and layoffs in Barcelona.",2017-10-15,0
Grifols S.A. ADS,GRFS,Grifols Layoffs 2017,"When will my job be safe? Never! Right, that's our modern capitalism - that's probably why there are rumors about layoffs in Barcelona.",2016-11-23,0
Grifols S.A. ADS,GRFS,Grifol is in a good business,"Plasma Derivatives are a good business, but Spain has some problems here and things are expensive and margins for profit are dropping",2016-03-01,0
Group 1 Automotive Inc.,GPI,Group 1 Automotive Layoffs 2019,Is there going to be any reorg or Group 1 Automotive Layoffs in 2019?,2018-10-30,0
Group 1 Automotive Inc.,GPI,Group 1 Automotive Layoffs 2018,"Is it possible that we'll have layoffs, RIFs or job cuts in Houston.",2017-10-15,0
Group 1 Automotive Inc.,GPI,Group 1 Automotive Layoffs 2017,"What do you think, what our likelihood of having layoffs in Houston.",2016-11-23,0
Group 1 Automotive Inc.,GPI,Group 1 Automotive Layoffs 2016,What is the likelihood of Group 1 Automotive layoffs in Houston in 2016? Please let me know if you have any information.,2015-11-05,0
Group 4 Securicor (G4S),LSE:GFS,CHEAP LABOR FOR VETERANS,"Stay away, if you would like to be constantly disrespected and abused this is yout next employer",2018-10-28,0
Group 4 Securicor (G4S),LSE:GFS,Think Again,"G4S should be a failed company by now. But the government won’t allow it Despite a litany of failures, most recently losing control of HMP Birmingham, G4S continues to be bailed out by the state and awarded new contracts The sign for G4S HMP...
read more",2018-10-19,0
Group 4 Securicor (G4S),LSE:GFS,Hiring big time,"Come and join us. No layoffs. If you are in a security business, you know what I am talking about.",2017-10-26,2
Group 4 Securicor (G4S),LSE:GFS,G4S Redundancies 2014,Anybody has more info about potential work force reductions at G4S in UK and US? Heard something about November 2014.,2014-08-29,0
Groupon,GRPN,Groupon laying off Now,Groupon laying off Palo Alto eng staff and moving jobs to India.,2018-12-05,0
Groupon,GRPN,Groupon Layoffs 2019,How likely is that there will be Groupon Layoffs in 2019?,2018-10-30,0
Groupon,GRPN,Groupon Layoffs 2018,There is some anxiety or lets say panic about possible job cuts in Chicago.,2017-10-15,1
Groupon,GRPN,Lawyers,Can anyone recommend a lawyer? There's another round of lay offs around the corner. This company does not derserve it's employees. They only care about their bottom line. Wish someone will start some kind of class action against these arrogant SOBs.,2017-09-13,1
Groupon,GRPN,Optimizing operations,"What kind of language is - OMG you just laid off 130 people and you are calling it optimizing operations. What a bunch of snobby a--holes run this place, they do not care about anyone except their bank accounts",2017-08-25,3
Groupon,GRPN,130 axed today,clowns.,2017-08-23,1
Groupon,GRPN,More cuts are coming and this time it will be massive,"But we already know this, right. Time to downscale and preserve cash. Every single person I know is looking.",2017-08-23,0
Groupon,GRPN,"Laid off 100+ in Chicago Corp Office, PR Release States: ""Small Cuts"" - OMG!!!","Quote: ""We've had a small number of position eliminations in our Chicago office"" Fact: Groupon laid off about 100 employees this week, primarily at its Chicago headquarters...
read more",2017-04-14,2
Groupon,GRPN,G Cans 200,"Yep, around 200 people laid off from editorial and deal factory yesterday. I left late last year. Awful place to work. Super low pay, and they waste all their money on stupidly themed office spaces.",2017-04-14,0
Groupon,GRPN,"Massive layoffs at Groupon, but no updates here?","Hmm, I think folks are scared as they are tracking everyone. I left in November 2016 and could not be happier right now. Regardless of what the corporate PR says, I can tell you that things are not good and that they will get worse. Just look at how...
read more",2017-04-13,3
Groupon,GRPN,Groupon Layoffs 2017,Someone please confirm RIFs or layoffs in Chicago.,2016-11-23,1
Groupon,GRPN,30 more job cuts come to Groupon (2016),"And everyone thought we were completely done with job cuts, here is another round of layoffs http://chicagoist.com/2016/05/06/groupon_lays_off_30_chicago_employe.php",2016-05-07,0
Groupon,GRPN,Groupon Layoffs 2016,What is the likelihood of Groupon layoffs in Chicago in 2016? Please let me know if you have any information.,2015-11-05,0
Groupon,GRPN,Ideel to lay off 40 folks,This was long overdue,2015-08-14,0
Groupon,GRPN,All overseas Groupon offices should be closed,"That's my opinion, it's a waste of resources, just RIF everyone overseas and get over with it",2015-07-14,0
Groupon,GRPN,Layoffs immanent,"Things are not developing well, I thought we'll have more growth when I joined.",2014-09-24,2
Gruma S.A.B. de C.V.,GMK,Gruma Layoffs 2018,"Came here to see if someone had any information about job cuts, layoffs in San Pedro Garza García Nuevo Leon.",2017-10-15,0
Gruma S.A.B. de C.V.,GMK,Gruma Layoffs 2017,It'd be great if someone is able to post any info (rumor?) on possible layoffs or job cuts in San Pedro Garza García Nuevo Leon.,2016-11-23,0
Gruma S.A.B. de C.V.,GMK,Gruma Food - Good Business,"Mexico companies are growing, we really have good companies here some of them grow, but things are",2016-03-01,0
Grupo Aval Acciones y Valores S.A. ADS,AVAL,Grupo Aval Acciones Layoffs 2018,Hey all - hello - a quick layoff question on rumors and factual info we have - Are we going to cut any resources this year in Bogota.,2017-10-15,0
Grupo Aval Acciones y Valores S.A. ADS,AVAL,Grupo Aval Acciones Layoffs 2017,How about Q4 cuts - really???? Info? do you expect that we'll be laying people off in Bogota.,2016-11-23,0
Grupo Aval Acciones y Valores S.A. ADS,AVAL,All Banking Comps have issues,"All companies that are in banking have issues now, I know at least six banks in Bogota that have so much problems, they can fold at any point. The Banco de Occidente is a bit better bank if compared to most other banks, so I think they will be just...
read more",2016-03-01,0
Grupo Casa Saba S.A. de C.V.,SAB,any news here?,any news here?,2009-08-02,0
Grupo Radio Centro S.A. de C.V.,RC,Grupo Radio Centro SAB de CV,"Grupo Radio Centro SAB de CV is a Mexico-based company, (owns radio stations), working in the production and radio broadcasting of music programs and news primarily in Mexico City, but revenue comes from sale of commercial air times. It seems like...
read more",2014-02-28,0
Grupo Televisa S.A. de C.V.,TV,Grupo Televisa Layoffs 2018,Let's see what the rest of this year brings - or maybe next year - RIFs maybe? Here in Mexico City.,2017-10-15,0
Grupo Televisa S.A. de C.V.,TV,Grupo Televisa Layoffs 2017,I need to decide if I'll stay around - need a decision ASAP and cannot make a mistake. I hear that there might be layoffs in Mexico City.,2016-11-23,0
Grupo Televisa S.A. de C.V.,TV,Televisa is going strong and no layoffs,"Expanding right now, expanding and going strong",2014-02-25,0
Guangshen Railway Co. Ltd.,GSH,Guangshen Layoffs 2019,This thread is for info about potential Guangshen Layoffs in 2019 or any other relevant information?,2018-10-30,0
Guangshen Railway Co. Ltd.,GSH,Guangshen Layoffs 2018,Do you have more (or any) details about possible job cuts in Shenzhen.,2017-10-15,0
Guangshen Railway Co. Ltd.,GSH,Guangshen Layoffs 2017,True or false - info please? Layoffs at corporate in Shenzhen.,2016-11-23,0
Guangshen Railway Co. Ltd.,GSH,"Great, no issues","Guangshen Railway never had layoffs, that's how they do business in China, they will keep people employed, even though there is no need for them, just to keep them on payroll as they are afraid of social nrest. Shenzhen has a ton of companies like...
read more",2016-03-01,0
Guess? Inc.,GES,Guess? Layoffs 2019,Is this going to be an interesting year as it relates to Guess? Layoffs in 2019?,2018-10-30,0
Guess? Inc.,GES,Guess? Layoffs 2018,"Things are not good, do not listen to what executives are telling you - be ready for anything but I hear that we might have job cuts in Los Angeles.",2017-10-15,0
Guess? Inc.,GES,Guess? Layoffs 2017,"Redundancies, RIFs, Layoffs, Job Cuts, Surplus, there is a ton of names for pink slips but do you really think that we'll be affected here in Los Angeles.",2016-11-23,1
Guess? Inc.,GES,Guess? Layoffs 2016,What is the likelihood of Guess? layoffs in Los Angeles in 2016? Please let me know if you have any information.,2015-11-05,2
Guess? Inc.,GES,Is anyone into this brand any more,"I think they will fold very quickly - they are closing stores, Guess? used to be popular",2014-07-23,0
Guidance Software Inc.,GUID,2014 will be VERY brutal for Guidance,"if you work here, you know what i am talking about - guidance has some major issues and will be cutting staff big time - 2014 will not be our best year on record for sure",2014-01-08,0
Gulf Island Fabrication Inc.,GIFI,KIITV reports on 8/11/2009: One of the biggest employers in the Coastal Bend will soon be letting go of their workers. Beginning on 1...,"KIITV reports on 8/11/2009: One of the biggest employers in the Coastal Bend will soon be letting go of their workers. Beginning on 10/1/09 Gulf Marine Fabricators will layoff 128 workers. The company, which constructs offshore oil structures has...
read more",2009-08-11,0
Gulfmark Offshore Inc.,GLF,Gulfmark Offshore,I worked there in 2006 It was a good company I lost all my contacts there Are you hiring? Are you laying off? What's the status?,2019-02-06,0
Gulfport Energy Corp.,GPOR,Michael Moore gone!,"Nice to see Gulfport made the WAJ today with the news of Michael Moore being forced to step down as CEO. Evidently another CEO doesn’t understand the difference between personal and company affairs to the time of $649,200. So nice of GPOR to pay Mike...
read more",2018-11-02,3
Gulfport Energy Corp.,GPOR,HR notice,"Yes we all know our current position in regards to the new 788 bill that passed. However I have just obtained my confirmation that my application was accepted. I am sure that HR is prepared to enforce their policy as well as I am prepared for my day...
read more",2018-08-30,2
Gulfport Energy Corp.,GPOR,Medical cannabis,"I was talking to my attorney today about the new medical cannabis law and according to him Gulf Port won’t be able to do anything. The new Oklahoma law has some priveledges that most other states did not afford and since Gulf Port is not a federal...
read more",2018-08-08,3
Gulfport Energy Corp.,GPOR,Gulfport Southwestern Energy merger,Word on the street is a February 2017 announcement of a Gulfport- Southwestern Energy merger. Any truth to it?,2018-01-08,11
Gulfport Energy Corp.,GPOR,Gulfport is in trouble.,"GP continues to set new 52 weeks lows, daily. Can they afford the new building, a $1.8 B acquisition, rig commitments in OK and continue to drill OH at today's gas prices with less hedging at lower pricing. Is this CHK, act 2? They even named their...
read more",2017-03-11,2
Gulfport Energy Corp.,GPOR,Company wide meeting called for 2/26/2016. All hands on deck and expected to be there!! Layoffs or cutbacks to be announced?,no body text,2016-02-23,1
Gulfport Energy Corp.,GPOR,Gulfport Energy 2016 Cuts,"Get ready - OK and wider, cuts are coming and you should be prepared. But hey? WHere to hide?",2016-01-20,0
Gulfport Energy Corp.,GPOR,Oklahoma City Layoffs - Corporate - 2015,"Do you think that our corporate office might be having layoffs sometimes in 2015? We saw what happened to Chesepeake last year, maybe we'll do better this year, you never know.",2015-01-11,1
Gymboree Corp.,GYMB,Gymboree Lays Off All Employees,"Today, at the corporate office in San Francisco, Gymboree cut all their employees. All badges and laptops were collected upon the announcement. Employees were shown the door immediately and were told they would only be paid till the end of the week...
read more",2019-01-17,2
Gymboree Corp.,GYMB,"Here we go again, Gymboree may be closing all stores","Another year, another threat of liquidation. However, this time it looks like we truly are at the end of the road. Last time 400 stores closed, this time the remaining 900 will most likely bite the dust. Frankly, this was a slow but obvious death...
read more",2019-01-15,1
Gymboree Corp.,GYMB,Bankruptcy Files - All Stores Closing Danger,Are all Gymboree stores to close? All of them? How dangerous is this bankruptcy for Gymboree? http://www.cnbc.com/2017/06/12/after-another-retail-bankruptcy-heres-who-could-be-next.html,2017-06-12,1
Gymboree Corp.,GYMB,The store next to me is working just fine,I like shopping at Gymboree - I like it better than amazon and they typically have even better prices,2014-07-23,0
Sanofi Genzyme,GENZ,Over sixty laid off from Genzyme (Feb 2015),"Genzyme R&D is affected big time, this was expected and rumored about for a while now. The number is in low sixties and will stay there. Strategic R&D took the biggest hit. Let's hope this is it. I am not sure if Sanofi is cutting staff in other...
read more",2015-02-11,1
Sanofi Genzyme,GENZ,Genzyme Sanofi Layoffs 2015,"The acquisition by Sanofi is turning Genzyme into a big pharma culture. Things have changed recently and the cohesive nature of Genzyme has slowly started to disappear. I am concerned that the next round of layoffs will be massive as Sanofi is after...
read more",2015-02-11,2
Sanofi Genzyme,GENZ,Genzyme 2014 Layoffs,"Sanofi has grand plans for us in 2014 - I know they will cut for sure, I am not sure how much though? Do you think the cuts will be massive?",2013-12-18,1
Sanofi Genzyme,GENZ,Sanofi is killing Genzyme,"The best Genzyme are leaving or are forced to leave - too bad, used to be a great company",2013-12-04,1
Sanofi Genzyme,GENZ,GEN was acquired by Sanofi-aventis and should be removed from this board...,GEN was acquired by Sanofi-aventis and should be removed from this board...,2012-03-07,0
