ticker,title,text,source_name,date,sentiment,news_url
CVS,Sickness in Healthcare: 4 trades,"The ""Fast Money"" traders give you 4 trades in healthcare as the sector flat lines.",CNBC Television,"Fri, 29 Mar 2019 22:16:31 -0400",Neutral,https://www.youtube.com/watch?v=CHCkFxfvM9M
CVS,Are the health care stocks flat lining? CVS,Health care hangs back. Is it time to fade the health care laggards.,CNBC Television,"Fri, 29 Mar 2019 22:06:36 -0400",Neutral,https://www.youtube.com/watch?v=4vd8IePKIDs&t=119s
CVS,The 2 Largest Drugstore Chains Are Now In The Pot Products Business,"Walgreens' plan to sell CBD creams, patches and sprays follows a similar deal by rival CVS days ago. Marijuana stocks traded broadly lower.",Investors Business Daily,"Thu, 28 Mar 2019 11:20:42 -0400",Positive,http://feedproxy.google.com/~r/BusinessRss/~3/HVAteZjE2RQ/
CVS,3 Top Healthcare Stocks to Buy Right Now,"What do a beaten-down biotech, a giant pharmacy chain, and a robotic surgical systems maker have in common? They could all be great stocks to buy.",The Motley Fool,"Mon, 25 Mar 2019 15:15:00 -0400",Positive,https://www.fool.com/investing/2019/03/25/3-top-healthcare-stocks-to-buy-right-now.aspx?source=iedfolrf0000001
CVS,It's Official: I Now Own a Pot Stock... Sort Of,The nation's largest pharmacy chain rolls out the red carpet for cannabis-based products in eight states.,The Motley Fool,"Mon, 25 Mar 2019 09:21:00 -0400",Positive,https://www.fool.com/investing/2019/03/25/its-official-i-now-own-a-pot-stock-sort-of.aspx?source=iedfolrf0000001
CVS,Don’t Judge CVS Health by Its Stores,"They represent less than 10% of the company’s revenue, and that percentage is set to shrink.",The Motley Fool,"Sun, 24 Mar 2019 10:15:00 -0400",Positive,https://www.fool.com/retirement/2019/03/24/dont-judge-cvs-health-by-its-stores.aspx?source=iedfolrf0000001
CVS,The Smartest People on Wall Street Are Buying These 3 Stocks: CVS,"The smart money is buying these three stocks, but does that make them right for your portfolio? It's a matter of balancing risk and reward...",The Motley Fool,"Sat, 23 Mar 2019 08:28:00 -0400",Positive,https://www.fool.com/investing/2019/03/23/the-smartest-people-on-wall-street-are-buying-thes.aspx?source=iedfolrf0000001
CVS,CVS unveils health hub model,"CVS is putting the idea behind its Aetna merger to the test with a new Health Hub concept store in Houston, with one-stop shopping for managing your chronic conditions.",CNBC Television,"Fri, 22 Mar 2019 14:19:16 -0400",Positive,https://www.youtube.com/watch?v=f1H7d-3nc4o
CVS,CVS to begin selling CBD,Grasslands CEO Ricardo Baca on CVS' decision to sell CBD and why marijuana could help end the opioid epidemic.,Fox Business,"Fri, 22 Mar 2019 12:42:04 -0400",Positive,https://www.youtube.com/watch?v=G-bdr7p2IdU
CVS,CVS CEO Larry Merlo: New Concept Stores and CBD Products | Mad Money | CNBC,"In a one-on-one with CVS CEO Larry Merlo, Jim Cramer learns the health chain is carrying cannabis-based products in eight states and finding early success in its HealthHUBs pilot in Houston, Texas.",CNBC Television,"Fri, 22 Mar 2019 12:13:47 -0400",Positive,https://www.youtube.com/watch?v=6xQ5ue9D3UQ
CVS,Why Is CVS Health (CVS) Down 7.9% Since Last Earnings Report?,CVS Health (CVS) reported earnings 30 days ago. What's next for the stock? We take a look at earnings estimates for some clues.,Zacks Investment Research,"Fri, 22 Mar 2019 09:30:45 -0400",Negative,http://www.zacks.com/stock/news/363176/why-is-cvs-health-cvs-down-79-since-last-earnings-report
CVS,CVS announcing it is selling CBD products in eight states,Alexis Keenan of Yahoo Finance breaks down CVS's decision to sell CBD products.,Yahoo Finance,"Thu, 21 Mar 2019 18:36:31 -0400",Positive,https://www.youtube.com/watch?v=rcmuXaHQ9io
CVS,CVS CEO explains why the company decided to sell CBD products in select stores,"In this preview of CNBC's Jim Cramer exclusive interview with CVS Health CEO Larry Merlo, the two discuss the company's decision to offer CBD products in stores in 8 states.",CNBC Television,"Thu, 21 Mar 2019 11:26:26 -0400",Positive,https://www.youtube.com/watch?v=_mH_r-Vv0U8
CVS,CVS Health Starts Selling CBD Products: Could This Under-the-Radar Marijuana Stock Be the Big Winner?,It's too early to know if CBD products will fly off the shelves. But this U.S. marijuana stock is flying high after announcing its deal with the pharmacy chain.,The Motley Fool,"Thu, 21 Mar 2019 11:03:00 -0400",Positive,https://www.fool.com/investing/2019/03/21/cvs-health-starts-selling-cbd-products-could-this.aspx?source=iedfolrf0000001
CVS,"CVS Health Stores To Carry CBD Products From Curaleaf, Elevate",Retail pharmacy chain CVS Health Corp will start carrying CBD products.,Benzinga,"Thu, 21 Mar 2019 09:35:10 -0400",Positive,http://feeds.benzinga.com/~r/benzinga/~3/LK_ejBcE2mc/cvs-health-stores-to-carry-cbd-products-from-curaleaf-elevate
CVS,"CVS heard from its customers who use CBD, will 'walk slowly' in the space, CEO Larry Merlo says","CVS has started selling CBD, short for cannabidiol products, in eight states. CEO Larry Merlo said CVS will ""walk slowly.""",CNBC,"Thu, 21 Mar 2019 09:35:00 -0400",Positive,https://www.cnbc.com/2019/03/21/cvs-starts-selling-cbd-products-in-some-states-after-hearing-from-customers.html
CVS,CVS has started selling cannabis-based products in 8 states,"The pharmacy chain said the products include topicals such as creams, sprays, roll-ons, lotions and salves.",CNBC,"Wed, 20 Mar 2019 18:50:00 -0400",Positive,https://www.cnbc.com/2019/03/20/cvs-has-started-selling-cannabis-based-products-in-8-states.html
CVS,"Final trades: CVS Health, Facebook, Netflix, & a Mexico play","The ""Halftime Report"" traders give their top stocks to watch for the second half.",CNBC Television,"Tue, 19 Mar 2019 15:47:09 -0400",Neutral,https://www.youtube.com/watch?v=HBZh-gpfs1Q
