ticker,company_id,currency,fyear,indicatorId,indicatorName,period,period_end_date,value
XRX,378247,USD,nan,0-31,Last Closing Price,,2019-03-29,31.98
XRX,378247,,nan,0-64,Common Shares Outstanding,,2018-10-31,238282707
XRX,378247,,nan,0-65,Preferred Shares Outstanding,,,
XRX,378247,,2017.0,0-66,"Average Shares Outstanding, basic",TTM,2017-12-31,254341000
XRX,378247,,2017.0,0-67,"Average Shares Outstanding, diluted",TTM,2017-12-31,256570000
XRX,378247,USD,2018.0,1-1,Revenues,TTM,2018-09-30,10044000000
XRX,378247,USD,2018.0,1-2,Cost of Goods Sold,TTM,2018-09-30,5922000000
XRX,378247,USD,2018.0,1-4,Gross Profit,TTM,2018-09-30,4122000000
XRX,378247,USD,2018.0,1-11,Operating Expenses,TTM,2018-09-30,3124000000
XRX,378247,USD,2018.0,1-12,"Selling, General and Administrative",TTM,2018-09-30,2529000000
XRX,378247,USD,2018.0,1-15,Research & Development Expenses,TTM,2018-09-30,420000000
XRX,378247,USD,2018.0,1-19,Operating Income (EBIT),TTM,2018-09-30,998000000
XRX,378247,USD,2018.0,1-21,"Interest Expense, net",TTM,2018-09-30,134000000
XRX,378247,USD,2018.0,1-28,Pretax Income (adjusted),TTM,2018-09-30,864000000
XRX,378247,USD,2018.0,1-43,Pretax Income,TTM,2018-09-30,685000000
XRX,378247,USD,2018.0,1-44,Income Taxes,TTM,2018-09-30,664000000
XRX,378247,USD,2018.0,1-49,Income from Continuing Operations,TTM,2018-09-30,64000000
XRX,378247,USD,2018.0,1-58,Net Income (common shareholders),TTM,2018-09-30,58000000
XRX,378247,USD,2018.0,2-1,Cash and Cash-equivalents,TTM,2018-09-30,1157000000
XRX,378247,USD,2018.0,2-5,"Receivables, net",TTM,2018-09-30,1290000000
XRX,378247,USD,2018.0,2-21,Total Current Assets,TTM,2018-09-30,4970000000
XRX,378247,USD,2018.0,2-22,"Property, Plant and Equipment, net",TTM,2018-09-30,968000000
XRX,378247,USD,2018.0,2-41,Total Assets,TTM,2018-09-30,15353000000
XRX,378247,USD,2018.0,2-43,Accounts payable,TTM,2018-09-30,1121000000
XRX,378247,USD,2018.0,2-47,Current Debt,TTM,2018-09-30,410000000
XRX,378247,USD,2018.0,2-57,Total Current Liabilities,TTM,2018-09-30,2736000000
XRX,378247,USD,2018.0,2-58,Non-current Debt,TTM,2018-09-30,4815000000
XRX,378247,USD,2018.0,2-73,Total Liabilities,TTM,2018-09-30,9917000000
XRX,378247,USD,2018.0,2-74,Preferred Equity,TTM,2018-09-30,214000000
XRX,378247,USD,2018.0,2-76,Common Stock,TTM,2018-09-30,0
